"","SPECIES","INTERACTIONS AS PREDATOR AT START","INTERACTIONS AS PREY AT START","INTERACTIONS AS PREDATOR AFTER PRIMARY EXTINCTIONS","INTERACTIONS AS PREY AFTER PRIMARY EXTINCTIONS","INTERACTIONS AS PREDATOR AFTER SECONDARY EXTINCTIONS","INTERACTIONS AS PREY AFTER SECONDARY EXTINCTIONS","INTERACTIONS AS PREDATOR AFTER PRIMARY FUTURE EXTINCTIONS","INTERACTIONS AS PREY AFTER PRIMARY FUTURE EXTINCTIONS","INTERACTIONS AS PREDATOR AFTER SECONDARY FUTURE EXTINCTIONS","INTERACTIONS AS PREY AFTER SECONDARY FUTURE EXTINCTIONS"
"531","Erinaceus concolor",227,269,227,269,227,269,227,269,227,269
"532","Meriones tristrami",0,93,0,93,0,93,0,93,0,93
"533","Oenanthe finschii",0,21,0,21,0,21,0,21,0,21
"534","Sciurus anomalus",0,270,0,270,0,270,0,270,0,270
"535","Dipus sagitta",0,970,0,970,0,970,0,951,0,951
"536","Bucanetes githagineus",0,265,0,261,0,261,0,260,0,260
"537","Sitta krueperi",0,42,0,42,0,42,0,42,0,42
"538","Microtus tatricus",0,978,0,974,0,974,0,972,0,972
"539","Diplomesodon pulchellum",0,125,0,125,0,125,0,125,0,125
"540","Spalax giganteus",0,130,0,130,0,130,0,130,0,130
"541","Hippolais languida",0,4,0,4,0,4,0,4,0,4
"542","Irania gutturalis",0,12,0,12,0,12,0,12,0,12
"543","Rousettus aegyptiacus",0,0,0,0,0,0,0,0,0,0
"544","Acomys minous",0,148,0,148,0,148,0,148,0,148
"545","Crocidura zimmermanni",0,148,0,148,0,148,0,148,0,148
"546","Myomimus roachi",0,193,0,193,0,193,0,193,0,193
"547","Microtus bavaricus",0,44,0,44,0,44,0,44,0,44
"548","Lynx pardinus",208,0,205,0,205,0,205,0,205,0
"549","Emberiza cineracea",0,107,0,107,0,107,0,107,0,107
"550","Bison bonasus",0,12,0,12,0,12,0,12,0,12
"551","Charadrius leschenaultii",0,29,0,29,0,29,0,29,0,29
"552","Atelerix algirus",10,9,10,9,10,9,10,9,10,9
"553","Tetraogallus caspius",0,11,0,11,0,11,0,11,0,11
"554","Francolinus francolinus",0,8,0,8,0,8,0,8,0,8
