"","grid","START AVERAGE trophic height","AFTER PRIMMARY EXTINCTIONS average TH","AFTER PRIMMARY EXTINCTIONS average TH of remaining species","AFTER PRIMMARY EXTINCTIONS average TH of extinct species","AFTER SECONDARY EXTINCTIONS average TH","AFTER SECONDARY EXTINCTIONS average TH of remaining species","AFTER SECONDARY EXTINCTIONS average TH of extinct species","FUTURE - AFTER PRIMMARY EXTINCTIONS average TH","FUTURE - AFTER PRIMMARY EXTINCTIONS average TH of remaining species","FUTURE - AFTER PRIMMARY EXTINCTIONS average TH of extinct species","FUTURE - AFTER SECONDARY EXTINCTIONS average TH","FUTURE - AFTER SECONDARY EXTINCTIONS average TH of remaining species","FUTURE - AFTER SECONDARY EXTINCTIONS average TH of extinct species"
"3545","2718",1.27483992469865,1.30232391716852,1.30232391716852,0.999999999999998,1.29289586199512,1.29289586199512,2,1.29965261875187,1.29005881900875,1.49999999999999,1.29005881900875,1.29005881900875,2
"3546","2077",1.33186078309146,1.33339009545594,1.33339009545594,1.00000000000001,1.33339009545594,1.33339009545594,NA,1.33339009545594,1.33339009545594,NA,1.33339009545594,1.33339009545594,NA
"3547","4585",1.33899460071256,1.34332416409525,1.34332416409525,1.27513354081801,1.34332416409525,1.34332416409525,NA,1.34724786882776,1.34724786882776,0.999999999999999,1.34344055312866,1.34344055312866,2.00972080047145
"3548","2610",1.34886246888627,1.35050032085287,1.35050032085287,0.999999999999997,1.35050032085287,1.35050032085287,NA,1.35050032085287,1.35050032085287,NA,1.35050032085287,1.35050032085287,NA
"3549","1616",1.33790489908286,1.33790489908286,1.33790489908286,NA,1.33790489908286,1.33790489908286,NA,1.33790489908286,1.33790489908286,NA,1.33790489908286,1.33790489908286,NA
"3550","3059",1.30143500605735,1.31177836410834,1.31177836410834,1,1.30834022402773,1.30834022402773,2.00972080047145,1.31331421811872,1.30986666078034,0.999999999999984,1.31140828595836,1.31140828595836,1.50486040023573
"3551","2017",1.33898856903684,1.33898856903684,1.33898856903684,NA,1.33898856903684,1.33898856903684,NA,1.33898856903684,1.33898856903684,NA,1.33898856903684,1.33898856903684,NA
"3552","484",1.29719521437876,1.29719521437876,1.29719521437876,NA,1.29719521437876,1.29719521437876,NA,1.29719521437876,1.29719521437876,NA,1.29719521437876,1.29719521437876,NA
"3553","4195",1.32595688078557,1.33065818195074,1.33065818195074,1,1.33065818195074,1.33065818195074,NA,1.33225556447225,1.33225556447225,0.999999999999999,1.33225556447225,1.33225556447225,NA
"3554","3571",1.36604831867065,1.36604831867065,1.36604831867065,NA,1.36604831867065,1.36604831867065,NA,1.36604831867065,1.36604831867065,NA,1.36604831867065,1.36604831867065,NA
"3555","1312",1.30798282356213,1.31144330472575,1.31144330472575,1,1.31144330472575,1.31144330472575,NA,1.31320287141911,1.31320287141911,1,1.31320287141911,1.31320287141911,NA
"3556","2515",1.34620956939098,1.34878376570869,1.34878376570869,1.2977678750485,1.34557533350111,1.34557533350111,2.00972080047145,1.35391293873382,1.35068235813413,1,1.35068235813413,1.35068235813413,2.00972080047145
"3557","1942",1.31710115009984,1.32642765451454,1.32642765451454,1,1.32642765451454,1.32642765451454,NA,1.32835917909747,1.32835917909747,0.999999999999984,1.32835917909747,1.32835917909747,NA
"3558","599",1.35956144160571,1.35956144160571,1.35956144160571,NA,1.35956144160571,1.35956144160571,NA,1.35956144160571,1.35956144160571,NA,1.35956144160571,1.35956144160571,NA
"3559","944",1.33551761637525,1.33551761637525,1.33551761637525,NA,1.33551761637525,1.33551761637525,NA,1.33551761637525,1.33551761637525,NA,1.33551761637525,1.33551761637525,NA
"3560","1025",1.32576042457958,1.32576042457958,1.32576042457958,NA,1.32576042457958,1.32576042457958,NA,1.32576042457958,1.32576042457958,NA,1.32576042457958,1.32576042457958,NA
"3561","695",1.34124769501489,1.34124769501489,1.34124769501489,NA,1.34124769501489,1.34124769501489,NA,1.34124769501489,1.34124769501489,NA,1.34124769501489,1.34124769501489,NA
"3562","397",1.34417077381739,1.34417077381739,1.34417077381739,NA,1.34417077381739,1.34417077381739,NA,1.34417077381739,1.34417077381739,NA,1.34417077381739,1.34417077381739,NA
"3563","4018",1.28703384192576,1.28703384192576,1.28703384192576,NA,1.28703384192576,1.28703384192576,NA,1.28703384192576,1.28703384192576,NA,1.28703384192576,1.28703384192576,NA
"3564","447",1.31797240141341,1.31797240141341,1.31797240141341,NA,1.31797240141341,1.31797240141341,NA,1.31797240141341,1.31797240141341,NA,1.31797240141341,1.31797240141341,NA
"3565","3449",1.32507436644631,1.33488264474426,1.33488264474426,1,1.33196126744674,1.33196126744674,2.00972080047145,1.33779466774204,1.33486049248995,0.999999999999995,1.33632917886052,1.33632917886052,1.50486040023573
"3566","2437",1.32195704580019,1.32502330337924,1.32502330337924,1,1.32174723879985,1.32174723879985,2.00972080047145,1.32502330337924,1.32174723879985,NA,1.32174723879985,1.32174723879985,2.00972080047145
"3567","2745",1.28317273397965,1.28568497632597,1.28568497632597,1.20152485772427,1.28195283290254,1.28195283290254,2.00972080047145,1.28864544240188,1.2848898415786,1,1.2848898415786,1.2848898415786,2.00972080047145
"3568","1061",1.32565607558902,1.33529087072479,1.33529087072479,1,1.33529087072479,1.33529087072479,NA,1.3372866497172,1.3372866497172,1,1.3372866497172,1.3372866497172,NA
"3569","4180",1.27160726186726,1.34868208516653,1.34868208516653,1.19547237543748,1.34054061123111,1.34054061123111,2,1.33390005206948,1.32365236056286,1.41372303079355,1.32365236056286,1.32365236056286,2
"3570","529",1.29785011314525,1.29785011314525,1.29785011314525,NA,1.29785011314525,1.29785011314525,NA,1.29785011314525,1.29785011314525,NA,1.29785011314525,1.29785011314525,NA
"3571","2013",1.34136397960996,1.34640876748597,1.34640876748597,1,1.34312504455039,1.34312504455039,2.00972080047145,1.34213777551141,1.33881646692952,2.20914914634562,1.33881646692952,1.33881646692952,2.00972080047145
"3572","3515",1.28859143708592,1.33138049355817,1.33138049355817,1.03480806766428,1.32351438171768,1.32351438171768,2,1.32939673465886,1.32141336245241,1.5,1.32141336245241,1.32141336245241,2
"3573","1422",1.34610398429104,1.34949716060762,1.34949716060762,1.00000000000001,1.34949716060762,1.34949716060762,NA,1.34949716060762,1.34949716060762,NA,1.34949716060762,1.34949716060762,NA
"3574","1985",1.34704833597899,1.34704833597899,1.34704833597899,NA,1.34704833597899,1.34704833597899,NA,1.34704833597899,1.34704833597899,NA,1.34704833597899,1.34704833597899,NA
"3575","591",1.35098067420434,1.35098067420434,1.35098067420434,NA,1.35098067420434,1.35098067420434,NA,1.35098067420434,1.35098067420434,NA,1.35098067420434,1.35098067420434,NA
"3576","2821",1.29903910164905,1.30620427704246,1.30620427704246,1.12617924528302,1.30412410821321,1.30412410821321,1.50486040023573,1.31103908141682,1.30897715249321,1,1.30897715249321,1.30897715249321,1.50486040023573
"3577","57",1.33016204202609,1.33016204202609,1.33016204202609,NA,1.33016204202609,1.33016204202609,NA,1.33016204202609,1.33016204202609,NA,1.33016204202609,1.33016204202609,NA
"3578","2624",1.41733073016115,1.41733073016115,1.41733073016115,NA,1.41733073016115,1.41733073016115,NA,1.41733073016115,1.41733073016115,NA,1.41733073016115,1.41733073016115,NA
"3579","4650",1.33042220300359,1.33616671155044,1.33616671155044,1.27412601924442,1.33271258801752,1.33271258801752,2.00972080047145,1.34148011714569,1.33794445215455,1.16790886770104,1.33442288009154,1.33442288009154,2.00486040023572
"3580","2847",1.36631877213179,1.37165351153176,1.37165351153176,1,1.36854098817108,1.36854098817108,2.00972080047145,1.37165351153176,1.36854098817108,NA,1.36854098817108,1.36854098817108,2.00972080047145
"3581","2598",1.34203440401425,1.34356134331788,1.34356134331788,1.00000000000001,1.34356134331788,1.34356134331788,NA,1.34510197714442,1.34510197714442,0.999999999999999,1.34210819866097,1.34210819866097,2.00972080047145
"3582","3902",1.29818121517019,1.32585249083861,1.32585249083861,1.20515862888062,1.32155855765923,1.32155855765923,2.00000000000001,1.32719804704014,1.32271270068707,1.29682692134844,1.32271270068707,1.32271270068707,2.00000000000001
"3583","1226",1.34499366846577,1.34499366846577,1.34499366846577,NA,1.34499366846577,1.34499366846577,NA,1.34499366846577,1.34499366846577,NA,1.34499366846577,1.34499366846577,NA
"3584","2035",1.32597590395016,1.3275135261386,1.3275135261386,0.999999999999997,1.3275135261386,1.3275135261386,NA,1.3275135261386,1.3275135261386,NA,1.3275135261386,1.3275135261386,NA
"3585","2920",1.35723751627915,1.36063977833895,1.36063977833895,1,1.36063977833895,1.36063977833895,NA,1.36063977833895,1.36063977833895,NA,1.36063977833895,1.36063977833895,NA
"3586","3070",1.33215101039085,1.33844771200963,1.33844771200963,1,1.33525117349315,1.33525117349315,2.00972080047145,1.34005936778111,1.33685524609359,1,1.33685524609359,1.33685524609359,2.00972080047145
"3587","4310",1.28648701687827,1.31076557763067,1.31076557763067,0.999999999999999,1.30679424113725,1.30679424113725,2.00972080047145,1.3161236048312,1.31211437248645,1,1.31211437248645,1.31211437248645,2.00972080047145
"3588","463",1.30197992017489,1.30197992017489,1.30197992017489,NA,1.30197992017489,1.30197992017489,NA,1.30197992017489,1.30197992017489,NA,1.30197992017489,1.30197992017489,NA
"3589","1630",1.34062544607081,1.34062544607081,1.34062544607081,NA,1.34062544607081,1.34062544607081,NA,1.34062544607081,1.34062544607081,NA,1.34062544607081,1.34062544607081,NA
"3590","1279",1.34007289989797,1.34172373921786,1.34172373921786,1,1.34172373921786,1.34172373921786,NA,1.34172373921786,1.34172373921786,NA,1.34172373921786,1.34172373921786,NA
"3591","388",1.35862781171566,1.35862781171566,1.35862781171566,NA,1.35862781171566,1.35862781171566,NA,1.35862781171566,1.35862781171566,NA,1.35862781171566,1.35862781171566,NA
"3592","1973",1.32958537335664,1.32958537335664,1.32958537335664,NA,1.32958537335664,1.32958537335664,NA,1.32958537335664,1.32958537335664,NA,1.32958537335664,1.32958537335664,NA
"3593","1778",1.33641870143453,1.34134190194333,1.34134190194333,1.00000000000001,1.34134190194333,1.34134190194333,NA,1.34134190194333,1.34134190194333,NA,1.34134190194333,1.34134190194333,NA
"3594","132",1.30847619487348,1.30847619487348,1.30847619487348,NA,1.30847619487348,1.30847619487348,NA,1.30847619487348,1.30847619487348,NA,1.30847619487348,1.30847619487348,NA
"3595","1362",1.35138417659633,1.3533255256383,1.3533255256383,1,1.3533255256383,1.3533255256383,NA,1.3533255256383,1.3533255256383,NA,1.3533255256383,1.3533255256383,NA
"3596","4664",1.32163961785647,1.32838730214716,1.32838730214716,1,1.32838730214716,1.32838730214716,NA,1.33304527806414,1.33304527806414,1,1.33304527806414,1.33304527806414,NA
"3597","3179",1.29602050381757,1.33629850138697,1.33629850138697,1.06963037954819,1.33220157855602,1.33220157855602,2.00000000000001,1.34494086033906,1.34071467234125,1.14369735902594,1.34071467234125,1.34071467234125,2.00000000000001
"3598","4465",1.36403348792687,1.36592949567649,1.36592949567649,1,1.36592949567649,1.36592949567649,NA,1.36592949567649,1.36592949567649,NA,1.36592949567649,1.36592949567649,NA
"3599","331",1.2984597202858,1.2984597202858,1.2984597202858,NA,1.2984597202858,1.2984597202858,NA,1.2984597202858,1.2984597202858,NA,1.2984597202858,1.2984597202858,NA
"3600","4002",1.3428041607937,1.34618154168822,1.34618154168822,1,1.34618154168822,1.34618154168822,NA,1.34789531169658,1.34789531169658,0.999999999999999,1.34460264757332,1.34460264757332,2.00972080047145
"3601","3608",1.32855046719159,1.36814644972281,1.36814644972281,1.16312725128338,1.35979245514901,1.35979245514901,1.75243020011786,1.35350955053769,1.34804750781451,1.52813670027678,1.34804750781451,1.34804750781451,1.66666666666666
"3602","1717",1.38967604827077,1.38967604827077,1.38967604827077,NA,1.38967604827077,1.38967604827077,NA,1.38967604827077,1.38967604827077,NA,1.38967604827077,1.38967604827077,NA
"3603","3356",1.30647541659479,1.34500495723617,1.34500495723617,1.0688765826396,1.34144520156897,1.34144520156897,2.00000000000001,1.35069185213566,1.34710451430216,1,1.34710451430216,1.34710451430216,2.00000000000001
"3604","139",1.42415476795104,1.42415476795104,1.42415476795104,NA,1.42415476795104,1.42415476795104,NA,1.42415476795104,1.42415476795104,NA,1.42415476795104,1.42415476795104,NA
"3605","1538",1.33630596805145,1.33630596805145,1.33630596805145,NA,1.33630596805145,1.33630596805145,NA,1.33630596805145,1.33630596805145,NA,1.33630596805145,1.33630596805145,NA
"3606","2255",1.33996193197674,1.3454065104767,1.3454065104767,1.17273559233509,1.34230223809355,1.34230223809355,2.00972080047145,1.34702055959108,1.34390929085455,0.999999999999984,1.34390929085455,1.34390929085455,2.00972080047145
"3607","906",1.33247735276218,1.33247735276218,1.33247735276218,NA,1.33247735276218,1.33247735276218,NA,1.33247735276218,1.33247735276218,NA,1.33247735276218,1.33247735276218,NA
"3608","1750",1.34083417794824,1.34083417794824,1.34083417794824,NA,1.34083417794824,1.34083417794824,NA,1.34083417794824,1.34083417794824,NA,1.34083417794824,1.34083417794824,NA
"3609","2411",1.41671996693966,1.41671996693966,1.41671996693966,NA,1.41671996693966,1.41671996693966,NA,1.41671996693966,1.41671996693966,NA,1.41671996693966,1.41671996693966,NA
"3610","4378",1.32789450171607,1.33651777582052,1.33651777582052,1.13434990514951,1.33651777582052,1.33651777582052,NA,1.33613033529131,1.33613033529131,1.36221799759135,1.33613033529131,1.33613033529131,NA
"3611","1176",1.34795439702583,1.35063096931065,1.35063096931065,1.00000000000001,1.35063096931065,1.35063096931065,NA,1.35063096931065,1.35063096931065,NA,1.35063096931065,1.35063096931065,NA
"3612","476",1.33894655092967,1.33894655092967,1.33894655092967,NA,1.33894655092967,1.33894655092967,NA,1.33894655092967,1.33894655092967,NA,1.33894655092967,1.33894655092967,NA
"3613","686",1.35292806199889,1.35292806199889,1.35292806199889,NA,1.35292806199889,1.35292806199889,NA,1.35292806199889,1.35292806199889,NA,1.35292806199889,1.35292806199889,NA
"3614","2838",1.34297764977842,1.34763345497904,1.34763345497904,1,1.34462396704498,1.34462396704498,2.00972080047145,1.34921360704712,1.34619759246528,1,1.34619759246528,1.34619759246528,2.00972080047145
"3615","620",1.33000979239161,1.33000979239161,1.33000979239161,NA,1.33000979239161,1.33000979239161,NA,1.33000979239161,1.33000979239161,NA,1.33000979239161,1.33000979239161,NA
"3616","2359",1.30176263293324,1.30565634432593,1.30565634432593,1,1.30565634432593,1.30565634432593,NA,1.30764112578259,1.30764112578259,1,1.30764112578259,1.30764112578259,NA
"3617","1407",1.35099489340806,1.35099489340806,1.35099489340806,NA,1.35099489340806,1.35099489340806,NA,1.35099489340806,1.35099489340806,NA,1.35099489340806,1.35099489340806,NA
"3618","1485",1.34374513269532,1.35141801512156,1.35141801512156,1,1.35141801512156,1.35141801512156,NA,1.35141801512156,1.35141801512156,NA,1.35141801512156,1.35141801512156,NA
"3619","3099",1.46134672631851,1.46134672631851,1.46134672631851,NA,1.46134672631851,1.46134672631851,NA,1.46134672631851,1.46134672631851,NA,1.46134672631851,1.46134672631851,NA
"3620","1614",1.34482805416375,1.34482805416375,1.34482805416375,NA,1.34482805416375,1.34482805416375,NA,1.34482805416375,1.34482805416375,NA,1.34482805416375,1.34482805416375,NA
"3621","1475",1.35255894411155,1.35423779622636,1.35423779622636,1.00000000000001,1.35423779622636,1.35423779622636,NA,1.35423779622636,1.35423779622636,NA,1.35423779622636,1.35423779622636,NA
