"","grid","START","AFTER PRIMMARY EXTINCTIONS","AFTER SECONDARY EXTINCTIONS","FUTURE AFTER PRIMMARY EXTINCTIONS","FUTURE AFTER SECONDARY EXTINCTIONS"
"577","4470",1898,0.0136986301369863,0,0.0242360379346681,0
"578","3207",3325,0.0523308270676692,0.000952078705172961,0.0616541353383459,0.000961538461538462
"579","4130",2756,0.0605950653120464,0,0.0689404934687954,0
"580","2418",366,0,0,0,0
"581","700",2091,0,0,0,0
"582","2987",3022,0.0043017868960953,0,0.0043017868960953,0
"583","2873",1373,0,0,0,0
"584","4636",759,0,0,0,0
"585","3352",2351,0.182050191407912,0.00572022880915237,0.257337303275202,0.00630011454753723
"586","1710",2522,0.00674068199841396,0,0.00674068199841396,0
"587","4204",226,0,0,0,0
"588","3637",2486,0,0,0,0
"589","683",1641,0,0,0.00609384521633151,0
"590","1706",2405,0.0232848232848233,0,0.0232848232848233,0
"591","185",733,0,0,0,0
"592","2992",2951,0.0288037953236191,0.00139567341242149,0.0288037953236191,0.00139567341242149
"593","20",8,0,0,0,0
"594","4527",1990,0.00100502512562814,0,0.00100502512562814,0
"595","1126",2535,0.0319526627218935,0,0.0453648915187377,0
"596","968",2376,0,0,0,0
"597","4729",798,0.0025062656641604,0,0.0075187969924812,0
"598","4344",2319,0.00129366106080207,0,0.00129366106080207,0
"599","805",2122,0,0,0,0
"600","382",1090,0,0,0,0
"601","1245",2096,0.036736641221374,0,0.036736641221374,0
"602","2186",2637,0.0333712552142586,0.00156924284032954,0.0477815699658703,0.001194743130227
"603","4593",1523,0,0,0,0
"604","1581",1038,0,0,0.0202312138728324,0
"605","3908",2462,0.196588139723802,0.00303336703741153,0.246141348497157,0.00323275862068966
"606","2659",2399,0.0304293455606503,0,0.0421008753647353,0
"607","1626",2935,0,0,0.00340715502555366,0
"608","4602",1995,0.220551378446115,0.00643086816720257,0.255137844611529,0.00672947510094213
"609","2152",2812,0.00462304409672831,0,0.0181365576102418,0
"610","1118",2147,0.0372612948299953,0,0.0447135537959944,0
"611","764",2236,0,0,0,0
"612","1984",2311,0,0,0,0
"613","1636",2639,0.00568397120121258,0,0.00568397120121258,0
"614","2204",3028,0.00363276089828269,0,0.0165125495376486,0
"615","3376",2914,0.0175017158544955,0.0013971358714635,0.030885380919698,0.00141643059490085
"616","2567",1659,0,0,0,0
"617","4385",2134,0.0014058106841612,0,0.0014058106841612,0
"618","3064",2887,0.0173190162798753,0.0014099400775467,0.0173190162798753,0.0014099400775467
"619","2910",3159,0.0170940170940171,0.00128824476650564,0.0300728078505856,0.00130548302872063
"620","3364",3102,0.0519019987105094,0,0.0519019987105094,0
"621","2577",2284,0,0,0.0148861646234676,0
"622","2350",522,0.0421455938697318,0,0.0459770114942529,0
"623","4282",1777,0.346088913899831,0,0.430500844119302,0
"624","2068",2448,0.0347222222222222,0.00126957257723233,0.0420751633986928,0.000852878464818763
"625","1393",2562,0,0,0,0
"626","505",1364,0,0,0,0
"627","861",2165,0,0,0,0
"628","3316",2481,0.00161225312374043,0,0.00161225312374043,0
"629","1086",2591,0.00385951370127364,0,0.0173678116557314,0
"630","435",2116,0,0,0,0
"631","4418",2223,0.00134952766531714,0,0.00134952766531714,0
"632","3290",3298,0.0518496058217101,0.000959385992964503,0.0518496058217101,0.000959385992964503
"633","1480",2836,0,0,0,0
"634","2025",3069,0.003584229390681,0,0.003584229390681,0
"635","3579",2068,0.153288201160542,0.00342661336379212,0.20357833655706,0.00546448087431694
"636","2846",3025,0.0132231404958678,0,0.0132231404958678,0
"637","1038",2665,0,0,0,0
"638","1842",2531,0.00553141050967997,0,0.00553141050967997,0
"639","4485",2233,0.179131213613972,0.00218221494817239,0.211822660098522,0.00568181818181818
"640","1923",325,0,0,0,0
"641","1880",357,0,0,0,0
"642","4677",332,0,0,0,0
"643","2636",1302,0.0798771121351766,0,0.101382488479263,0.00427350427350427
"644","4574",1081,0,0,0,0
"645","456",1303,0,0,0,0
"646","1822",2706,0,0,0,0
"647","3105",1909,0.289156626506024,0.00442151805453206,0.403876375065479,0.00527240773286467
"648","3717",1881,0,0,0,0
"649","1299",1442,0,0,0,0
"650","4147",2550,0.200392156862745,0.00490436488474743,0.22078431372549,0.00805234021137393
"651","961",2338,0,0,0,0
"652","2391",3008,0.00365691489361702,0,0.00365691489361702,0
"653","1303",1579,0.00569981000633312,0,0.00569981000633312,0
"654","665",2284,0,0,0,0
"655","4478",398,0,0,0,0
"656","2167",720,0,0,0,0
"657","1410",2729,0,0,0,0
"658","454",1287,0,0,0,0
"659","1580",1112,0.0404676258992806,0,0.0431654676258993,0
"660","1956",2620,0,0,0.00305343511450382,0
"661","4221",3279,0.0356816102470265,0.00284629981024668,0.0512351326623971,0.00289296046287367
"662","416",877,0,0,0,0
"663","2179",1535,0,0,0,0
"664","1737",1528,0.0994764397905759,0.00363372093023256,0.130235602094241,0.00376222723852521
"665","2750",2986,0.00334896182183523,0,0.0170797052913597,0.00136286201022147
"666","3406",2955,0,0,0.00101522842639594,0
"667","3924",1975,0,0,0,0
"668","2512",2795,0.0933810375670841,0.00118389897395422,0.108050089445438,0.00120336943441637
"669","539",1246,0,0,0,0
"670","1969",2875,0.0316521739130435,0,0.039304347826087,0
"671","4370",330,0,0,0,0
"672","744",1723,0,0,0,0
"673","3508",2697,0.176492398961809,0.0045024763619991,0.218020022246941,0.00474158368895211
"674","4077",2908,0.189133425034388,0.00212044105173876,0.21767537826685,0.0021978021978022
"675","2349",512,0,0,0,0
"676","4225",3018,0.00132538104705103,0,0.00132538104705103,0
"677","1723",183,0,0,0,0
"678","2516",2864,0.0907821229050279,0.00115207373271889,0.105097765363128,0.00117050331642606
"679","3350",2326,0.204643164230439,0.00324324324324324,0.264832330180568,0.00350877192982456
"680","3593",2419,0.182720132286069,0.00859888720283257,0.207523770152956,0.00886802295253
"681","3117",2541,0.170405352223534,0.00569259962049336,0.174734356552538,0.00572246065808298
"682","4243",2841,0.0531502991904259,0,0.0770855332629356,0
"683","1255",2322,0,0,0,0
"684","2136",2760,0.0561594202898551,0,0.061231884057971,0
"685","4072",2775,0.0396396396396396,0,0.0436036036036036,0
"686","3114",2430,0.133333333333333,0,0.159670781893004,0.0029382957884427
"687","3073",2753,0.000726480203414457,0,0.0152560842717036,0.00147547030616009
"688","3990",2685,0.0312849162011173,0.00153787004998078,0.0454376163873371,0.00312134217713617
"689","2016",2628,0.0030441400304414,0,0.0030441400304414,0
"690","3462",2795,0.00107334525939177,0,0.00107334525939177,0
"691","4392",1022,0,0,0,0
"692","2778",2217,0,0,0,0
"693","1938",1723,0.0951828206616367,0,0.106210098665119,0
"694","2420",1449,0.0524499654934438,0,0.062111801242236,0
"695","3914",2418,0.043424317617866,0,0.0578990901571547,0
"696","3005",2650,0.0147169811320755,0,0.0147169811320755,0
"697","374",688,0,0,0,0
"698","3654",2653,0.290614398793818,0.00318809776833156,0.326045985676593,0.00335570469798658
"699","3795",2941,0,0,0.0146208772526352,0.00138026224982747
"700","1637",2711,0.0180745112504611,0,0.0221320545924013,0
"701","155",528,0,0,0,0
"702","3264",2252,0.365452930728242,0.00769769069279216,0.462699822380107,0.00743801652892562
"703","4464",2306,0.0013009540329575,0,0.0013009540329575,0
"704","4297",2316,0.111830742659758,0.00145843461351483,0.112694300518135,0.00145985401459854
"705","3672",2622,0.0614035087719298,0.00203169443315725,0.0697940503432494,0.002050020500205
"706","2041",2461,0.0016253555465258,0,0.0016253555465258,0
"707","2648",2091,0.105212816834051,0.00320684126135756,0.124342419894787,0.00327689787001638
"708","2559",1467,0.059986366734833,0,0.059986366734833,0
"709","2030",2896,0.00379834254143646,0,0.00379834254143646,0
"710","2358",1520,0.0328947368421053,0,0.0328947368421053,0
"711","4601",1648,0.00182038834951456,0,0.00182038834951456,0
"712","15",3,0,0,0,0
"713","2054",1404,0,0,0,0
"714","2091",2814,0.0184790334044065,0,0.0184790334044065,0
"715","3428",2613,0.290088021431305,0.00646900269541779,0.33027171833142,0.00685714285714286
"716","164",80,0,0,0,0
"717","4188",2905,0.0736660929432014,0,0.0753872633390706,0.00670141474311243
"718","3796",3408,0,0,0.0140845070422535,0.00119047619047619
"719","3501",2186,0.317932296431839,0.00402414486921529,0.398902104300091,0.0045662100456621
"720","325",1814,0,0,0,0
"721","1725",1382,0.0412445730824891,0,0.0412445730824891,0
"722","2317",2875,0.0904347826086957,0.000764818355640535,0.104347826086957,0.000776699029126214
"723","3597",2366,0.159763313609467,0,0.173288250211327,0.00306748466257669
"724","255",1308,0,0,0,0
"725","2",1,0,0,0,0
"726","2352",538,0.0446096654275093,0,0.0557620817843866,0
"727","2853",2567,0.00194779898714453,0,0.00194779898714453,0
"728","1418",2928,0.00853825136612022,0,0.00853825136612022,0
"729","1924",560,0,0,0,0
"730","1473",2671,0,0,0,0
"731","2133",2707,0.0465459918729221,0.000774893452150329,0.0572589582563724,0.000783699059561128
"732","2532",2857,0.00175008750437522,0,0.0147007350367518,0.00142095914742451
"733","687",1780,0,0,0,0
"734","63",10,0,0,0,0
"735","730",1574,0,0,0,0
"736","138",11,0,0,0,0
"737","2343",2558,0.00820953870211102,0,0.00820953870211102,0
"738","2576",2296,0.029616724738676,0,0.029616724738676,0
"739","4257",2411,0.0464537536291995,0,0.0476980506014102,0
"740","3153",2322,0.0327304048234281,0.00267141585040071,0.0327304048234281,0.00267141585040071
"741","3244",2595,0.00732177263969172,0,0.0204238921001927,0
"742","4565",2176,0.03125,0,0.03125,0
"743","2975",2054,0.0676728334956183,0.00156657963446475,0.0735150925024343,0.00157645822385707
"744","2917",2862,0.0150244584206848,0.00141894288754878,0.0150244584206848,0.00141894288754878
"745","4037",2260,0.211946902654867,0.00336889387984278,0.26283185840708,0.00360144057623049
"746","2881",2275,0.364395604395604,0.00760719225449516,0.475164835164835,0.00753768844221105
"747","2962",2489,0.169546002410607,0.0058055152394775,0.184813177983126,0.0059142434696895
